,FIPS,x,y,cluster
200,06043,16.920504,-0.23529169,3
201,06045,3.7777755,0.605213,0
202,06047,17.658024,6.322506,16
203,06049,13.743201,0.456653,6
204,06051,18.037144,-0.8393936,3
205,06053,1.9713227,-0.80360883,5
206,06055,2.3286483,-0.17437498,0
207,06057,17.041105,-0.33312356,3
208,06059,0.42115584,-2.116294,5
209,06061,2.272786,-0.06249787,0
210,06063,17.641912,1.2494324,3
211,06065,0.70224816,-2.70293,5
212,06067,0.8422522,-2.7486877,5
213,06069,4.328916,-5.3365135,2
214,06071,0.73521596,-2.7176578,5
215,06073,0.43108013,-2.1918926,5
216,06075,18.447037,-4.6175876,19
217,06077,3.581622,-1.3764724,0
218,06079,2.3267899,-0.10114553,0
219,06081,0.326198,-1.7585813,5
220,06083,1.9280301,-0.8134912,5
221,06085,0.32219115,-1.7528147,5
222,06087,1.0980673,-1.3879007,5
223,06089,3.707884,0.56307715,0
224,06091,17.680082,1.1675339,3
225,06093,13.885537,0.28417355,6
226,06095,1.9072464,-0.6590129,5
227,06097,2.2994564,-0.1714365,0
228,06099,3.6262887,-1.3165387,0
229,06101,3.7297556,-1.3213502,0
230,06103,3.4812758,0.38252652,0
231,06105,17.49029,1.4762996,3
232,06107,17.658056,6.3225107,16
233,06109,16.940035,-0.23123007,3
234,06111,1.8447173,-0.64188224,5
235,06113,13.587191,7.1252184,7
236,06115,5.198411,-4.765356,2
237,08001,3.4846103,1.4478078,0
238,08003,7.6735897,1.5633975,15
239,08005,1.6269035,-2.5524683,5
240,08007,16.999353,1.5444697,3
241,08009,15.561136,0.3563842,12
242,08011,8.1774435,11.299253,1
243,08013,6.262233,-6.555049,2
244,08014,4.0606875,-5.080994,2
245,08015,14.093826,5.0491824,7
246,08017,11.249529,-2.066754,8
247,08019,14.950758,3.3173106,14
248,08021,9.068212,0.12781326,11
249,08023,16.42685,1.0056986,12
250,08025,8.165343,11.284608,1
251,08027,17.893198,0.8221388,3
252,08029,17.150562,4.316464,16
253,08031,13.907504,7.43085,7
254,08033,17.26197,1.760147,3
255,08035,3.7908223,-5.775992,2
256,08037,6.787482,-5.120435,2
257,08039,5.8291388,-3.735523,2
258,08041,4.6331034,-4.169357,2
259,08043,8.346577,10.6774025,1
260,08045,2.5635924,-2.5125499,5
261,08047,14.962124,3.314551,14
262,08049,18.064548,-0.8122855,3
263,08051,6.7902017,-5.1310544,2
264,08053,18.943544,1.4012079,3
