,FIPS,x,y,cluster
78,02150,14.583679,-0.3116368,1
79,02164,13.98499,0.8245186,1
80,02170,14.627465,-0.24155216,1
81,02180,14.091355,0.69827974,1
82,02185,14.632818,-0.24280591,1
83,02188,14.087038,0.7050984,1
84,02220,13.665478,1.2079549,1
85,02240,13.8796015,0.9385346,1
86,02261,13.897832,0.92327696,1
87,02282,9.244614,9.516164,7
88,02290,13.922932,0.8985583,1
89,04001,12.630146,3.8084269,1
90,04003,0.6345733,7.8574557,2
91,04005,-0.070245974,5.955766,3
92,04007,8.110952,10.593645,5
93,04009,10.457747,-0.77699554,6
94,04011,12.80165,1.2099485,1
95,04012,6.1469917,11.146494,5
96,04013,9.888086,-4.637305,16
97,04015,5.1821175,9.814882,5
98,04017,12.590787,3.7663069,1
99,04019,9.3893175,5.024933,0
100,04021,9.782058,3.8257418,0
101,04023,14.577879,4.96213,12
102,04025,5.3436947,9.708496,5
103,04027,11.548917,1.9757476,6
104,05001,13.889669,7.224158,15
105,05003,13.278548,7.935144,15
106,05005,5.000064,9.916433,5
107,05007,9.144269,-0.80671406,10
108,05009,11.67364,8.378455,8
109,05011,-0.69636154,7.8710303,2
110,05013,12.018042,7.3242073,13
111,05015,12.505028,6.8626084,13
112,05017,-1.8597859,3.9081435,3
113,05019,14.4844,3.2657845,1
114,05021,12.350037,6.410942,13
115,05023,8.385908,11.755313,9
116,05025,12.285756,6.4004645,13
117,05027,14.509632,3.367499,1
118,05029,13.628342,6.297648,12
119,05031,0.49494356,5.5781217,3
120,05033,12.650478,3.2442462,1
121,05035,11.800937,3.715482,0
122,05037,13.990791,5.7163177,12
123,05039,14.342538,9.57435,15
124,05041,-1.912769,3.8627732,3
125,05043,14.52837,3.359464,1
126,05045,11.149545,-0.50731003,6
127,05047,13.65512,6.121525,12
128,05049,8.446595,11.423718,9
129,05051,13.455834,9.1741,15
130,05053,13.274002,2.576709,1
131,05055,13.788544,3.7889025,1
132,05057,14.745905,5.885741,12
133,05059,1.5231618,8.515296,2
134,05061,-0.948542,4.819927,3
135,05063,12.685856,3.3346522,1
136,05065,7.232136,10.38654,5
137,05067,14.635818,3.4487386,1
138,05069,14.810283,6.5369153,12
139,05071,-0.31037605,4.7843385,3
140,05073,8.733749,11.356962,9
141,05075,-0.610955,7.814236,2
142,05077,17.578718,7.9840436,11
143,05079,18.819675,8.927273,11
144,05081,12.344366,8.770483,8
145,05083,13.618688,6.316781,12
146,05085,0.31688523,5.246154,3
147,05087,15.360607,6.0007267,12
148,05089,8.415157,11.41317,9
149,05091,11.403032,4.144987,0
150,05093,-0.24205305,5.050522,3
151,05095,8.7420025,11.334367,9
152,05097,4.7313385,9.904119,5
153,05099,13.425236,8.051668,15
154,05101,8.477828,11.567704,9
155,05103,13.18243,8.59899,15
156,05105,11.186002,6.37124,13
157,05107,2.4939523,2.5809972,4
158,05109,12.318243,6.4207616,13
159,05111,-1.105242,4.72369,3
160,05113,12.682822,8.84264,8
161,05115,13.953586,3.4560487,1
162,05117,4.3330774,9.76017,5
163,05119,10.117488,1.1592194,6
164,05121,11.199272,6.367081,13
165,05123,17.20127,7.563169,11
166,05125,9.194093,0.45329395,10
167,05127,13.296343,7.4546385,15
168,05129,8.613398,11.388512,9
169,05131,12.2511215,-0.71953547,6
170,05133,11.602586,1.9822886,6
171,05135,14.019294,9.4134445,15
172,05137,8.418943,11.430313,9
173,05139,14.4180565,6.615457,12
174,05141,8.501796,11.54543,9
175,05143,10.972455,-1.9086009,18
176,05145,0.22833504,5.9859295,3
177,05147,2.4730113,2.5791907,4
178,05149,-0.9829344,4.8374257,3
179,06001,9.467979,-3.6030664,16
180,06003,6.1476426,12.710911,19
181,06005,6.494251,8.976803,5
182,06007,9.212801,5.1351476,0
183,06009,6.279778,9.415687,5
184,06011,11.42804,1.7398484,6
185,06013,9.695597,-3.8580096,16
186,06015,17.755497,9.034049,11
187,06017,10.10001,4.7857766,0
188,06019,14.187268,0.49774504,1
189,06021,11.429454,1.721301,6
190,06023,12.362077,-1.0026088,6
191,06025,11.513067,1.8962954,6
192,06027,9.05504,6.4605875,0
193,06029,14.181694,0.51171964,1
194,06031,11.404506,-2.0277734,18
195,06033,13.426603,9.189136,15
196,06035,18.942379,8.862138,11
197,06037,9.859696,-4.580911,16
